quarter,index
0500-0515,21
0515-0530,22
0530-0545,23
0545-0600,24
0600-0615,25
0615-0630,26
0630-0645,27
0645-0700,28
0700-0715,29
0715-0730,30
0730-0745,31
0745-0800,32
0800-0815,33
0815-0830,34
0830-0845,35
0845-0900,36
0900-0915,37
0915-0930,38
0930-0945,39
0945-1000,40
1000-1015,41
1015-1030,42
1030-1045,43
1045-1100,44
1100-1115,45
1115-1130,46
1130-1145,47
1145-1200,48
1200-1215,49
1215-1230,50
1230-1245,51
1245-1300,52
1300-1315,53
1315-1330,54
1330-1345,55
1345-1400,56
1400-1415,57
1415-1430,58
1430-1445,59
1445-1500,60
1500-1515,61
1515-1530,62
1530-1545,63
1545-1600,64
1600-1615,65
1615-1630,66
1630-1645,67
1645-1700,68
1700-1715,69
1715-1730,70
1730-1745,71
1745-1800,72
1800-1815,73
1815-1830,74
1830-1845,75
1845-1900,76
1900-1915,77
1915-1930,78
1930-1945,79
1945-2000,80
2000-2015,81
2015-2030,82
2030-2045,83
2045-2100,84
2100-2115,85
2115-2130,86
2130-2145,87
2145-2200,88
2200-2215,89
2215-2230,90
2230-2245,91
2245-2300,92
2300-2315,93
2315-2330,94
2330-2345,95
2345-0000,96
0000-0015,97
0015-0030,98
0030-0045,99
0045-0100,100
0100-0115,101
0115-0130,102
0130-0145,103
0145-0200,104
0200-0215,105
0215-0230,106
0230-0245,107
0245-0300,108
0300-0315,109
0315-0330,110
0330-0345,111
0345-0400,112
0400-0415,113
0415-0430,114
0430-0445,115
0445-0500,116
